author_id,tweet_id,time_zone,utc_offset,access
487834443,991617533194227712,Amsterdam,7200,2018-05-02 14:56:03
869193235918454786,991314489885839360,Pacific Time (US & Canada),-25200,2018-05-02 14:53:16
847735496633536512,991433704575852544,London,3600,2018-05-02 14:53:49
1016063701,991691846731649025,Athens,10800,2018-05-02 14:52:15
2323137780,991102360733745157,Pacific Time (US & Canada),-25200,2018-05-02 14:51:25
4341845536,991694254278959104,Pacific Time (US & Canada),-25200,2018-05-02 15:01:49
311118058,991664937457070080,Amsterdam,7200,2018-05-02 15:15:27
738153522277945344,991476607251460096,Pacific Time (US & Canada),-25200,2018-05-02 15:25:22
2596413645,991512017667174400,Pacific Time (US & Canada),-25200,2018-05-02 15:21:01
226224091,991699086108577792,Pacific Time (US & Canada),-25200,2018-05-02 15:21:01
2574890250,991646124489498624,Pacific Time (US & Canada),-25200,2018-05-02 15:11:33
919273451743076353,991649165460541442,Pacific Time (US & Canada),-25200,2018-05-02 15:11:33
2672595537,991696703752364033,Tijuana,-25200,2018-05-02 15:11:33
2294131202,991553694788476928,Istanbul,10800,2018-05-02 15:36:41
597769317,991703028767051777,Athens,10800,2018-05-02 15:36:41
3438438843,991640533771534337,Istanbul,10800,2018-05-02 15:43:48
954124423,991705917476474881,Atlantic Time (Canada),-10800,2018-05-02 15:49:56
954124423,991704664403046400,Atlantic Time (Canada),-10800,2018-05-02 15:53:15
897619242,991704324773433345,London,3600,2018-05-02 15:41:50
3685392135,991557250656407552,Istanbul,10800,2018-05-02 15:47:39
57039681,991431323716857857,Istanbul,10800,2018-05-02 15:47:48
526110917,991431912953733121,Riga,10800,2018-05-02 15:47:48
954124423,991705917476474881,Atlantic Time (Canada),-10800,2018-05-02 15:50:14
313246922,991706438723686403,Eastern Time (US & Canada),-14400,2018-05-02 15:50:14
487834443,991689003408740352,Amsterdam,7200,2018-05-02 15:59:12
833263613276200962,968061890344693760,Karachi,18000,2018-05-02 16:18:40
982669803444940800,991713594202099713,Pacific Time (US & Canada),-25200,2018-05-02 16:18:40
597769317,991712457528836097,Athens,10800,2018-05-02 16:14:09
326003773,991708914029940736,Eastern Time (US & Canada),-14400,2018-05-02 16:05:08
1494034783,991521489731182592,Istanbul,10800,2018-05-02 16:01:02
248829087,991698032214396928,Athens,10800,2018-05-02 16:01:02
326003773,991708914029940736,Eastern Time (US & Canada),-14400,2018-05-02 16:01:43
3709329729,991472697313054722,Eastern Time (US & Canada),-14400,2018-05-02 16:20:21
232108392,991712260560244736,Central Time (US & Canada),-18000,2018-05-02 16:20:21
129314386,991714017826754560,America/Chicago,-18000,2018-05-02 16:20:21
18118505,990386281288028160,Quito,-18000,2018-05-02 16:20:56
954124423,991707064283156480,Atlantic Time (Canada),-10800,2018-05-02 16:11:03
4764985268,991570087474745344,Midway Island,-39600,2018-05-02 16:29:24
813914393788481540,991644298209906688,Pacific Time (US & Canada),-25200,2018-05-02 16:29:59
828627471608184832,991712671446847494,Eastern Time (US & Canada),-14400,2018-05-02 16:15:00
869193235918454786,982702283459788800,Pacific Time (US & Canada),-25200,2018-05-02 16:48:05
